ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"U.T.A. Mesivta of Kiryas Joel","Monroe","N.Y.","08/31/14","1.8","Private not-for-profit, 4-year or above"
"Ultimate Medical Academy at Clearwater","Clearwater","Fla.","12/31/14","1.6","Private for-profit, 2-year"
"Ultrasound Medical Institute","Royal Palm Beach","Fla.","12/31/14","1.7","Private for-profit, 2-year"
"Unification Theological Seminary","Barrytown","N.Y.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Union College (Ky.)","Barbourville","Ky.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Union College (N.Y.)","Schenectady","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Union College (Neb.)","Lincoln","Nebr.","05/31/15","3","Private not-for-profit, 4-year or above"
"Union Graduate College","Schenectady","N.Y.","08/31/14","2.6","Private not-for-profit, 4-year or above"
"Union Institute & U.","Cincinnati","Ohio","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Union Presbyterian Seminary","Richmond","Va.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Union Theological Seminary","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Union U.","Jackson","Tenn.","07/31/14","2.6","Private not-for-profit, 4-year or above"
"United States Sports Academy","Daphne","Ala.","08/31/14","3","Private not-for-profit, 4-year or above"
"United States U.","Chula Vista","Calif.","12/31/14","1.8","Private for-profit, 4-year or above"
"United Talmudical Seminary","Brooklyn","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"United Theological Seminary","Trotwood","Ohio","06/30/15","0.9","Private not-for-profit, 4-year or above"
"United Theological Seminary of the Twin Cities","New Brighton","Minn.","06/30/15","0.8","Private not-for-profit, 4-year or above"
"United Tribes Technical College","Bismarck","N.D.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Unitek College","Fremont","Calif.","12/31/14","-1","Private for-profit, 4-year or above"
"Unity College","Unity","Maine","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Universal College of Healing Arts","Omaha","Nebr.","12/31/14","1.9","Private for-profit, 2-year"
"Universal Technical Institute","Avondale","Ariz.","09/30/14","2.4","Private for-profit, 2-year"
"Universal Technology College of Puerto Rico","Aguadilla, PR","P.R.","09/30/14","3","Private not-for-profit, 4-year or above"
"Universidad Adventista de las Antillas","Mayaguez","P.R.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Universidad Central Del Caribe","Bayamon","P.R.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Universidad del Este","Carolina","P.R.","07/31/14","1.9","Private not-for-profit, 4-year or above"
"Upper Iowa U.","Fayette","Iowa","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Urban College of Boston","Boston","Mass.","08/31/14","3","Private not-for-profit, 2-year"
"Urshan Graduate School of Theology","Florissant","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ursinus College","Collegeville","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ursuline College","Pepper Pike","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"USC The Business College at Utica","Utica","N.Y.","06/30/15","-1","Private for-profit, 2-year"
"Utica College","Utica","N.Y.","05/31/15","1.9","Private not-for-profit, 4-year or above"
"Valley College of Medical Careers","West Hills","Calif.","12/31/14","1.7","Private for-profit, 2-year"
"Valley Forge Christian College","Phoenixville","Pa.","06/30/15","0.7","Private not-for-profit, 4-year or above"
"Valley Forge Military College","Wayne","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Valparaiso U.","Valparaiso","Ind.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Vanderbilt U.","Nashville","Tenn.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"VanderCook College of Music","Chicago","Ill.","07/31/14","3","Private not-for-profit, 4-year or above"
"Vanguard U. of Southern California","Costa Mesa","Calif.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Vassar College","Poughkeepsie","N.Y.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Vatterott College-Spring Valley Campus (Neb.)","Omaha","Nebr.","12/31/14","-0.4","Private for-profit, 2-year"
"Vaughn College of Aeronautics and Technology","Flushing","N.Y.","08/31/14","2.9","Private not-for-profit, 4-year or above"
"Vermont College of Fine Arts","Montpelier","Vt.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Vermont Law School","South Royalton","Vt.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Villa Maria College of Buffalo","Buffalo","N.Y.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Villanova U.","Villanova","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"Virginia Baptist College","Fredericksburg","Va.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Virginia College at Birmingham (Ala.)","Birmingham","Ala.","12/31/14","-0.9","Private for-profit, 4-year or above"
"Virginia Marti College of Art & Design","Lakewood","Ohio","06/30/15","2.8","Private for-profit, 2-year"
"Virginia Tech Carilion School of Medicine","Roanoke","Va.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Virginia U. of Lynchburg","Lynchburg","Va.","06/30/15","2","Private not-for-profit, 4-year or above"
"Virginia Union U.","Richmond","Va.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Virginia Wesleyan College","Norfolk","Va.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Visible Music College","Memphis","Tenn.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Vista College","El Paso","Tex.","12/31/14","1.5","Private for-profit, 2-year"
"Vista College Online","Dallas","Tex.","12/31/14","3","Private for-profit, 4-year or above"
"Viterbo U.","La Crosse","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Voorhees College","Denmark","S.C.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Wabash College","Crawfordsville","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Wade College Dallas Market Center","Dallas","Tex.","12/31/14","3","Private for-profit, 4-year or above"
"Wagner College","Staten Island","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"Wake Forest U.","Winston-Salem","N.C.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Walla Walla U.","College Place","Wash.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Walsh College of Accountancy and Business Administration","Troy","Mich.","08/31/14","3","Private not-for-profit, 4-year or above"
"Walsh U.","North Canton","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Warner Pacific College","Portland","Ore.","05/31/15","2.1","Private not-for-profit, 4-year or above"
"Warner U.","Lake Wales","Fla.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Warren Wilson College","Swannanoa","N.C.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Wartburg College","Waverly","Iowa","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Wartburg Theological Seminary","Dubuque","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Washington & Jefferson College","Washington","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Washington Adventist U.","Takoma Park","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Washington and Lee U.","Lexington","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Washington College","Chestertown","Md.","06/30/15","3","Private not-for-profit, 4-year or above"
"Washington U. in St. Louis","St Louis","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Watkins College of Art, Design & Film","Nashville","Tenn.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Wayland Baptist U.","Plainview","Tex.","06/30/15","3","Private not-for-profit, 4-year or above"
"Waynesburg U.","Waynesburg","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Webb Institute","Glen Cove","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Webber International U.","Babson Park","Fla.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Webster U.","Saint Louis","Mo.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Welch College","Nashville","Tenn.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Wellesley College","Wellesley","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Wells College","Aurora","N.Y.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"WellSpring School of Allied Health at Kansas City (Mo.)","Kansas City","Mo.","06/30/15","0.2","Private for-profit, 2-year"
"Wentworth Institute of Technology","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Wentworth Military Academy and Junior College","Lexington","Mo.","05/31/15","1.5","Private not-for-profit, 2-year"
"Wesley Biblical Seminary","Jackson","Miss.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Wesley College (Del.)","Dover","Del.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Wesley Theological Seminary","Washington","D.C.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Wesleyan College (Ga.)","Macon","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Wesleyan U. (Conn.)","Middletown","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"West Coast U.-Los Angeles","Los Angeles","Calif.","12/31/14","1.9","Private for-profit, 4-year or above"
"West Coast Ultrasound Institute","Beverly Hills","Calif.","12/31/14","2.2","Private for-profit, 2-year"
"West Tennessee Business College","Jackson","Tenn.","12/31/14","2.9","Private for-profit, 2-year"
"West Virginia Business College at Wheeling","Wheeling","W.Va.","12/31/14","1.7","Private for-profit, 2-year"
"West Virginia Junior College at Charleston","Charleston","W.Va.","06/30/15","3","Private for-profit, 2-year"
"West Virginia Junior College at Morgantown","Morgantown","W.Va.","06/30/15","3","Private for-profit, 2-year"
"West Virginia Wesleyan College","Buckhannon","W.Va.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Western Governors U.","Salt Lake City","Utah","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Western New England U.","Springfield","Mass.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Western Seminary","Portland","Ore.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Western Technical College main campus","El Paso","Tex.","12/31/14","2.8","Private for-profit, 2-year"
"Western Theological Seminary","Holland","Mich.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Western U. of Health Sciences","Pomona","Calif.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Westminster College (Mo.)","Fulton","Mo.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Westminster College (Pa.)","New Wilmington","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Westminster College (Utah)","Salt Lake City","Utah","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Westminster Theological Seminary","Glenside","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Westminster Theological Seminary in California","Escondido","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Westmont College","Santa Barbara","Calif.","05/31/15","2.3","Private not-for-profit, 4-year or above"
"Westwood College-Denver North","Denver","Colo.","09/30/14","1.3","Private for-profit, 4-year or above"
"Wheaton College (Ill.)","Wheaton","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Wheaton College (Mass.)","Norton","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Wheeling Jesuit U.","Wheeling","W.Va.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Wheelock College","Boston","Mass.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"White Earth Tribal and Community College","Mahnomen","Minn.","09/30/14","1.9","Private not-for-profit, 2-year"
"Whitman College","Walla Walla","Wash.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Whittier College","Whittier","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Whitworth U.","Spokane","Wash.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Wichita Technical Institute","Wichita","Kans.","12/31/14","1.1","Private for-profit, 2-year"
"Widener U.","Chester","Pa.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Wilberforce U.","Wilberforce","Ohio","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Wiley College","Marshall","Tex.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Wilkes U.","Wilkes-Barre","Pa.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Willamette U.","Salem","Ore.","05/31/15","3","Private not-for-profit, 4-year or above"
"William Carey U.","Hattiesburg","Miss.","06/30/15","3","Private not-for-profit, 4-year or above"
"William James College","Newton","Mass.","05/31/15","3","Private not-for-profit, 4-year or above"
"William Jessup U.","Rocklin","Calif.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"William Jewell College","Liberty","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"William Mitchell College of Law","St Paul","Minn.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"William Peace U.","Raleigh","N.C.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"William Penn U.","Oskaloosa","Iowa","06/30/15","2.1","Private not-for-profit, 4-year or above"
"William Woods U.","Fulton","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Williams Baptist College","Walnut Ridge","Ark.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Williams College","Williamstown","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Wilmington College (Ohio)","Wilmington","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Wilmington U. (Del.)","New Castle","Del.","06/30/15","3","Private not-for-profit, 4-year or above"
"Wilson College (Pa.)","Chambersburg","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Winebrenner Theological Seminary","Findlay","Ohio","06/30/15","0.9","Private not-for-profit, 4-year or above"
"Wingate U.","Wingate","N.C.","05/31/15","2.3","Private not-for-profit, 4-year or above"
"Wisconsin Lutheran College","Milwaukee","Wis.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Wisconsin School of Professional Psychology","Milwaukee","Wis.","08/31/14","2.9","Private not-for-profit, 4-year or above"
"Wittenberg U.","Springfield","Ohio","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Wofford College","Spartanburg","S.C.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Wolford College","Naples","Fla.","12/31/14","2","Private for-profit, 4-year or above"
"Won Institute of Graduate Studies","Glenside","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Woodbury U.","Burbank","Calif.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Worcester Polytechnic Institute","Worcester","Mass.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"World Medicine Institute","Honolulu","Hawaii","06/30/15","3","Private not-for-profit, 4-year or above"
"World Mission U.","Los Angeles","Calif.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Worsham College of Mortuary Science","Wheeling","Ill.","12/31/14","2.8","Private for-profit, 2-year"
"Wright Career College","Overland Park","Kans.","12/31/14","1.1","Private not-for-profit, 4-year or above"
"Wright Institute","Berkeley","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
